node,bonacich
1,13.545871659818134
2,9.319011609764367
3,8.522600799459552
4,25.3987920830684
5,22.536220523365618
6,27.903813349563425
7,26.4382949316205
8,6.290002896632274
9,17.385392173920494
10,3.3049118757755234
11,10.237927457436516
12,15.775183461112336
13,14.666029149256595
14,9.654407525767027
15,16.040374977809776
16,19.321506936630247
17,8.683194978260909
18,10.367696990609733
19,16.52594050234409
20,9.844370047915612
21,16.33876912621072
22,13.728134290277568
23,7.743733958766373
24,5.607462372476415
25,8.417648023574376
26,11.350107387139587
27,26.97218201609067
28,38.253967015345054
29,4.834682733189207
30,12.165291200330243
31,14.515082992601164
32,17.05749106109552
33,18.96916957312073
34,21.210133812704385
35,12.85155800967317
36,19.237852524536294
37,29.22992434760162
38,11.0011726313015
39,17.578329838431305
40,25.505451475259385
41,11.23719686414612
42,16.33328855792497
43,17.855284817819093
44,18.68696850270209
45,17.45537763321494
46,30.9602595650944
47,3.782485024906638
48,14.190898808040929
49,8.193841051325931
50,14.271983152627309
51,5.258134646409762
52,8.430142469136179
53,12.089321660515907
54,16.213928449833844
55,6.073293501709612
56,23.4796557727212
57,10.731391740257306
58,14.428649728730697
59,17.09909690512462
60,3.444873394027774
61,11.629327133158409
62,16.411478234723322
63,27.60451323569507
64,16.20502857753227
65,15.356590909532736
66,12.870385845694184
67,18.262015378398903
68,16.117865279484167
69,5.232863143129787
70,9.31147422072515
